Dataset,Emotion,File
CREMA-D,Angry,1001_DFA_ANG_XX
CREMA-D,Disgust,1001_DFA_DIS_XX
CREMA-D,Fearful,1001_DFA_FEA_XX
CREMA-D,Happy,1001_DFA_HAP_XX
CREMA-D,Neutral,1001_DFA_NEU_XX
CREMA-D,Sad,1001_DFA_SAD_XX
CREMA-D,Angry,1001_IEO_ANG_HI
CREMA-D,Angry,1001_IEO_ANG_LO
CREMA-D,Angry,1001_IEO_ANG_MD
CREMA-D,Disgust,1001_IEO_DIS_HI
CREMA-D,Disgust,1001_IEO_DIS_LO
CREMA-D,Disgust,1001_IEO_DIS_MD
CREMA-D,Fearful,1001_IEO_FEA_HI
CREMA-D,Fearful,1001_IEO_FEA_LO
CREMA-D,Fearful,1001_IEO_FEA_MD
CREMA-D,Happy,1001_IEO_HAP_HI
CREMA-D,Happy,1001_IEO_HAP_LO
CREMA-D,Happy,1001_IEO_HAP_MD
CREMA-D,Neutral,1001_IEO_NEU_XX
CREMA-D,Sad,1001_IEO_SAD_HI
CREMA-D,Sad,1001_IEO_SAD_LO
CREMA-D,Sad,1001_IEO_SAD_MD
CREMA-D,Angry,1001_IOM_ANG_XX
CREMA-D,Disgust,1001_IOM_DIS_XX
CREMA-D,Fearful,1001_IOM_FEA_XX
CREMA-D,Happy,1001_IOM_HAP_XX
CREMA-D,Neutral,1001_IOM_NEU_XX
CREMA-D,Sad,1001_IOM_SAD_XX
CREMA-D,Angry,1001_ITH_ANG_XX
CREMA-D,Disgust,1001_ITH_DIS_XX
CREMA-D,Fearful,1001_ITH_FEA_XX
CREMA-D,Happy,1001_ITH_HAP_XX
CREMA-D,Neutral,1001_ITH_NEU_XX
CREMA-D,Sad,1001_ITH_SAD_XX
CREMA-D,Angry,1001_ITS_ANG_XX
CREMA-D,Disgust,1001_ITS_DIS_XX
CREMA-D,Fearful,1001_ITS_FEA_XX
CREMA-D,Happy,1001_ITS_HAP_XX
CREMA-D,Neutral,1001_ITS_NEU_XX
CREMA-D,Sad,1001_ITS_SAD_XX
CREMA-D,Angry,1001_IWL_ANG_XX
CREMA-D,Disgust,1001_IWL_DIS_XX
CREMA-D,Fearful,1001_IWL_FEA_XX
CREMA-D,Happy,1001_IWL_HAP_XX
CREMA-D,Neutral,1001_IWL_NEU_XX
CREMA-D,Sad,1001_IWL_SAD_XX
CREMA-D,Angry,1001_IWW_ANG_XX
CREMA-D,Disgust,1001_IWW_DIS_XX
CREMA-D,Fearful,1001_IWW_FEA_XX
CREMA-D,Happy,1001_IWW_HAP_XX
CREMA-D,Neutral,1001_IWW_NEU_XX
CREMA-D,Sad,1001_IWW_SAD_XX
CREMA-D,Angry,1001_MTI_ANG_XX
CREMA-D,Disgust,1001_MTI_DIS_XX
CREMA-D,Fearful,1001_MTI_FEA_XX
CREMA-D,Happy,1001_MTI_HAP_XX
CREMA-D,Neutral,1001_MTI_NEU_XX
CREMA-D,Sad,1001_MTI_SAD_XX
CREMA-D,Angry,1001_TAI_ANG_XX
CREMA-D,Disgust,1001_TAI_DIS_XX
CREMA-D,Fearful,1001_TAI_FEA_XX
CREMA-D,Happy,1001_TAI_HAP_XX
CREMA-D,Neutral,1001_TAI_NEU_XX
CREMA-D,Sad,1001_TAI_SAD_XX
CREMA-D,Angry,1001_TIE_ANG_XX
CREMA-D,Disgust,1001_TIE_DIS_XX
CREMA-D,Fearful,1001_TIE_FEA_XX
CREMA-D,Happy,1001_TIE_HAP_XX
CREMA-D,Neutral,1001_TIE_NEU_XX
CREMA-D,Sad,1001_TIE_SAD_XX
CREMA-D,Angry,1001_TSI_ANG_XX
CREMA-D,Disgust,1001_TSI_DIS_XX
CREMA-D,Fearful,1001_TSI_FEA_XX
CREMA-D,Happy,1001_TSI_HAP_XX
CREMA-D,Neutral,1001_TSI_NEU_XX
CREMA-D,Sad,1001_TSI_SAD_XX
CREMA-D,Angry,1001_WSI_ANG_XX
CREMA-D,Disgust,1001_WSI_DIS_XX
CREMA-D,Fearful,1001_WSI_FEA_XX
CREMA-D,Happy,1001_WSI_HAP_XX
CREMA-D,Neutral,1001_WSI_NEU_XX
CREMA-D,Sad,1001_WSI_SAD_XX
CREMA-D,Angry,1002_DFA_ANG_XX
CREMA-D,Disgust,1002_DFA_DIS_XX
CREMA-D,Fearful,1002_DFA_FEA_XX
CREMA-D,Happy,1002_DFA_HAP_XX
CREMA-D,Neutral,1002_DFA_NEU_XX
CREMA-D,Sad,1002_DFA_SAD_XX
CREMA-D,Angry,1002_IEO_ANG_HI
CREMA-D,Angry,1002_IEO_ANG_LO
CREMA-D,Angry,1002_IEO_ANG_MD
CREMA-D,Disgust,1002_IEO_DIS_HI
CREMA-D,Disgust,1002_IEO_DIS_LO
CREMA-D,Disgust,1002_IEO_DIS_MD
CREMA-D,Fearful,1002_IEO_FEA_HI
CREMA-D,Fearful,1002_IEO_FEA_LO
CREMA-D,Fearful,1002_IEO_FEA_MD
CREMA-D,Happy,1002_IEO_HAP_HI
CREMA-D,Happy,1002_IEO_HAP_LO
CREMA-D,Happy,1002_IEO_HAP_MD
CREMA-D,Neutral,1002_IEO_NEU_XX
CREMA-D,Sad,1002_IEO_SAD_HI
CREMA-D,Sad,1002_IEO_SAD_LO
CREMA-D,Sad,1002_IEO_SAD_MD
CREMA-D,Angry,1002_IOM_ANG_XX
CREMA-D,Disgust,1002_IOM_DIS_XX
CREMA-D,Fearful,1002_IOM_FEA_XX
CREMA-D,Happy,1002_IOM_HAP_XX
CREMA-D,Neutral,1002_IOM_NEU_XX
CREMA-D,Sad,1002_IOM_SAD_XX
CREMA-D,Angry,1002_ITH_ANG_XX
CREMA-D,Disgust,1002_ITH_DIS_XX
CREMA-D,Fearful,1002_ITH_FEA_XX
CREMA-D,Happy,1002_ITH_HAP_XX
CREMA-D,Neutral,1002_ITH_NEU_XX
CREMA-D,Sad,1002_ITH_SAD_XX
CREMA-D,Angry,1002_ITS_ANG_XX
CREMA-D,Disgust,1002_ITS_DIS_XX
CREMA-D,Fearful,1002_ITS_FEA_XX
CREMA-D,Happy,1002_ITS_HAP_XX
CREMA-D,Neutral,1002_ITS_NEU_XX
CREMA-D,Sad,1002_ITS_SAD_XX
CREMA-D,Angry,1002_IWL_ANG_XX
